window,sector,lat,value
S3,east_sector,14.5,9.833828384356163
S3,east_sector,14.75,9.853134480603968
S3,east_sector,15.0,9.887931831005208
S3,east_sector,15.25,9.876414295888544
S3,east_sector,15.5,9.821279159926505
S3,east_sector,15.75,9.746131299821158
S3,east_sector,16.0,9.673980074763566
S3,east_sector,16.25,9.596694270326438
S3,east_sector,16.5,9.499831910053352
S3,east_sector,16.75,9.41561294867933
S3,east_sector,17.0,9.290287485992016
S3,east_sector,17.25,9.152433543181473
S3,east_sector,17.5,9.000126037909057
S3,east_sector,17.75,8.8757340439085
S3,east_sector,18.0,8.737398963270817
S3,east_sector,18.25,8.57222260460886
S3,east_sector,18.5,8.392433064432643
S3,east_sector,18.75,8.1529659335597
S3,east_sector,19.0,7.926774102701893
S3,east_sector,19.25,7.760723618833925
S3,east_sector,19.5,7.49745830881028
S3,east_sector,19.75,7.229580236326808
S3,east_sector,20.0,7.007027001595009
S3,east_sector,20.25,6.779549499208966
S3,east_sector,20.5,6.525611821293562
S3,east_sector,20.75,6.249863937196278
S3,east_sector,21.0,5.978854885628974
