day,lat,Je_raw_profile_value
125,45.0,24.763779259061817
126,25.0,-1.5614890651337825
126,27.0,-1.6933976339036216
126,29.0,-1.365155256896677
126,31.0,-0.14742753239763964
126,33.0,2.2234124188834183
126,35.0,5.946170888056439
126,37.0,10.265525872143535
126,39.0,14.669095713506168
126,41.0,18.806111371388244
126,43.0,22.311304835687903
126,45.0,24.37958013396146
127,25.0,-1.6235228442105627
127,27.0,-1.534881958913517
127,29.0,-1.0403258900508832
127,31.0,0.21621530698025226
127,33.0,2.6220092737172966
127,35.0,6.384030747146003
127,37.0,10.702503169494967
127,39.0,15.018998133092179
127,41.0,18.919970277440264
127,43.0,22.090002980717294
127,45.0,23.874024194556277
128,25.0,-1.6847410801239033
128,27.0,-1.4910825243650452
128,29.0,-0.8739807382842192
128,31.0,0.5127490525127586
128,33.0,2.981143453239857
128,35.0,6.773982733074684
128,37.0,11.08639886545937
128,39.0,15.325615287235234
128,41.0,19.07254180753435
128,43.0,22.077745876059755
128,45.0,23.655909505271428
129,25.0,-1.8139581540505538
129,27.0,-1.5482984111030649
129,29.0,-0.771227438284994
129,31.0,0.7353280014428419
129,33.0,3.326382686399962
129,35.0,7.180796630623388
129,37.0,11.51973149763357
129,39.0,15.715958459116221
129,41.0,19.346253888525588
129,43.0,22.189130543067893
129,45.0,23.69506520939199
130,25.0,-2.119817417993118
130,27.0,-1.7965545513085819
130,29.0,-0.8471785090103783
130,31.0,0.8437346609850089
130,33.0,3.658547087012975
130,35.0,7.623582346810003
130,37.0,12.002877507961305
130,39.0,16.19849233812481
130,41.0,19.823529163413983
130,43.0,22.55953319461831
130,45.0,23.907635375964542
131,25.0,-2.6302840220352
131,27.0,-2.293684013868255
131,29.0,-1.20485709666897
131,31.0,0.7647686256214113
131,33.0,3.8114252129486665
131,35.0,7.888401344254125
131,37.0,12.347523045229858
131,39.0,16.7130012538648
131,41.0,20.448980764361966
131,43.0,23.16371226807362
131,45.0,24.407139153801822
132,25.0,-3.1142757057874944
132,27.0,-2.8245974795253916
132,29.0,-1.6633189205478927
132,31.0,0.42710078403214763
132,33.0,3.621997027976126
132,35.0,7.903865402303271
132,37.0,12.601728049092202
132,39.0,17.20258961609765
132,41.0,21.160153572903404
132,43.0,23.949750240613316
132,45.0,25.04996402082954
133,25.0,-3.462648738937703
133,27.0,-3.2131763879574686
133,29.0,-2.0326372663033228
133,31.0,0.1182794253821158
133,33.0,3.4480722454236594
133,35.0,7.90455164269917
