window,metric,n,mean,median,p25,p75,p90,min,max
T1,D_pos_neg_CI90_high,308,0.10423096344465282,0.10594752517349665,0.05124675963591033,0.15316874684858361,0.21989706447244367,-0.12734832174644,0.3493362238813812
T1,D_pos_neg_CI95_low,308,-0.12909264726956243,-0.12781811736892207,-0.18523505126130513,-0.07162144030030079,-0.023476001239405304,-0.503645267172796,0.1334154238839859
T1,D_pos_neg_CI95_high,308,0.12600828994336616,0.12905216808660855,0.0680234139209646,0.18305795409781128,0.24403433052869894,-0.1140414013904852,0.3676630893228829
T1,P_D_pos_neg_gt_0,308,0.4957954545454546,0.527,0.221,0.735,0.9492,0.0,1.0
T1,D_pos_0_CI90_low,308,-0.06422393969462478,-0.05921337556160905,-0.0907718345476793,-0.035199666214442746,-0.01612810872506522,-0.1834522962462579,0.1114834642350808
T1,D_pos_0_CI90_high,308,0.09221621464330039,0.0872127912803471,0.040698024278832,0.14527589071093017,0.20261687445469187,-0.1087401914914089,0.448838064901814
T1,D_pos_0_CI95_low,308,-0.07304194216331782,-0.06855326412653234,-0.09870508488268143,-0.04243754412139565,-0.024236724077356733,-0.1913908665928573,0.0868290658613659
T1,D_pos_0_CI95_high,308,0.11366384714214714,0.11277872812109166,0.05326247763716828,0.17119807375772084,0.23136123747533696,-0.1032031866416147,0.507834226599696
T1,P_D_pos_0_gt_0,308,0.4566525974025974,0.459,0.2295,0.6825000000000001,0.8622000000000001,0.0,1.0
T1,D_pos_neg_robustness,308,-0.0008903078582842085,0.0022520815935056,-0.054893091847782724,0.04123845984656563,0.11811102048631746,-0.2624643624286399,0.2503009919482043
