mode,anchor_name,anchor_type,anchor_start,anchor_end,source_metric,information_form,target_metric,target_family,n_valid_years,spearman_r,pearson_r,n_high,n_low,high_mean_target,low_mean_target,high_minus_low,permutation_null_p90_absdiff,permutation_p,bootstrap_ci_low,bootstrap_ci_high,evaluation_mode,primary_score,support_flag
anomaly,E2_shift_left,named,22,33,H_centroid_lat,slope,P_main_band_share_transition,P_rainband_structure,45,-0.0530961791831357,-0.02704254009208856,13,13,-0.05058279703242692,0.01810280229711977,-0.0686855993295467,0.14840263639967277,0.4471105778844231,-0.2810025985200849,0.13367953029272847,formal_perm_boot,0.056530459149613035,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,slope,P_main_minus_south_transition,P_rainband_structure,45,-0.08339920948616601,-0.07895978610634716,13,13,-0.10347304782605858,0.03990157236545966,-0.14337462019151825,0.252145396860647,0.3687262547490502,-0.48979339216375256,0.18969539380380154,formal_perm_boot,0.09056794049574192,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,slope,P_south_band_share_18_24_transition,P_rainband_structure,45,0.11409749670619235,0.1400385544099081,13,13,0.05289025079363167,-0.02179877006833987,0.07468902086197154,0.11134525430736365,0.2653469306138772,-0.058658981877169405,0.22223473934307297,formal_perm_boot,0.11783194774929093,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,slope,P_spread_lat_transition,P_spread,45,0.009486166007905137,-0.019994200871511877,13,13,0.017845917044152906,-0.29779411027839625,0.31564002732254914,1.096271347755155,0.636872625474905,-1.0573543467601048,1.7931917917466007,formal_perm_boot,0.025268167374032598,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,slope,P_total_strength_transition,P_strength,45,-0.059947299077733864,-0.1427069492576167,13,13,0.3810068048401219,0.8037472512397544,-0.42274044639963254,0.7841824478292454,0.3739252149570086,-1.1942362437021958,0.32020969228137325,formal_perm_boot,0.08108432139771549,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,window_mean,P_centroid_lat_transition,P_position,45,-0.031093544137022394,0.015015219327087612,13,13,-1.2952984434997008,-1.6600023990836037,0.3647039555839029,2.9330119221436677,0.8448310337932413,-2.007365963453718,2.988128126051454,formal_perm_boot,0.04932874191621754,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,window_mean,P_main_band_share_transition,P_rainband_structure,45,-0.037549407114624504,-0.027999571238709685,13,13,-0.03145397798710824,-0.03303524967113071,0.0015812716840224658,0.14554569730002284,0.9892021595680864,-0.13492011025494516,0.14036338174960172,formal_perm_boot,0.037628470698825627,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,window_mean,P_main_minus_south_transition,P_rainband_structure,45,-0.06693017127799736,-0.06555050778218065,13,13,-0.08846710305637787,-0.0577258250121364,-0.03074127804424147,0.2531144161010268,0.8388322335532894,-0.2670976994678146,0.22436806245690732,formal_perm_boot,0.06846723518020943,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,window_mean,P_south_band_share_18_24_transition,P_rainband_structure,45,0.0909090909090909,0.10900823092499909,13,13,0.057013125069269636,0.024690575341005685,0.032322549728263955,0.11364640088814221,0.6546690661867627,-0.08034044036953533,0.14422284840407015,formal_perm_boot,0.0925252183955041,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,window_mean,P_spread_lat_transition,P_spread,45,0.009354413702239788,-0.066158267485339,13,13,-0.17280577381825246,0.2912750327741908,-0.4640808065924433,1.1185574697069622,0.500499900019996,-1.8737985647881448,0.9575677056478017,formal_perm_boot,0.03255845403186195,False
