object,baseline_config,baseline_role,day,D_pre,D_post,S_dist,R_pre,R_post,R_diff,S_pattern,V_dist,V_pattern,pattern_dynamic_range,pattern_branch_valid
V,C2_immediate_pre,immediate_pre_sensitivity,53,0.3477307882508364,1.8437315112081,0.15867523175584167,0.9833107876408783,0.20165646207861532,-0.781654325562263,-0.11757240645052854,0.0027859641876489816,-0.022504687122584258,1.2664954585284411,True
V,C2_immediate_pre,immediate_pre_sensitivity,54,0.3687418683723616,1.8604558713654673,0.1654146071472908,0.9822077545558107,0.19569606319469585,-0.7865116913611148,-0.12140768731643516,0.006739375391449143,-0.0038352808659066207,1.2664954585284411,True
V,C2_immediate_pre,immediate_pre_sensitivity,55,0.3957556091315024,1.8817975830482914,0.1737634978143952,0.9801787517113504,0.18687320043111177,-0.7933055512802386,-0.12677198599857786,0.008348890667104397,-0.005364298682142707,1.2664954585284411,True
V,C2_immediate_pre,immediate_pre_sensitivity,56,0.3752652474179323,1.8420644790954783,0.16924196835984767,0.9896095716020104,0.24564185598956956,-0.7439677156124408,-0.0878157976162491,-0.004521529454547535,0.03895618838232877,1.2664954585284411,True
V,C2_immediate_pre,immediate_pre_sensitivity,57,0.3416420762120368,1.8183298807560422,0.15816968137475024,0.9909999526874986,0.25979273069514697,-0.7312072219923517,-0.07774036186623406,-0.011072286985097435,0.01007543575001503,1.2664954585284411,True
V,C2_immediate_pre,immediate_pre_sensitivity,58,0.32876467522273606,1.818262519322987,0.15312552913066266,0.9879558107689708,0.2408528718996458,-0.747102938869325,-0.09029130847242466,-0.00504415224408758,-0.012550946606190591,1.2664954585284411,True
V,C2_immediate_pre,immediate_pre_sensitivity,59,0.3406682784297422,1.826424113102409,0.1572006250222156,0.9878140851613532,0.23844708563027778,-0.7493669995310754,-0.09207896641190207,0.004075095891552943,-0.0017876579394774106,1.2664954585284411,True
V,C2_immediate_pre,immediate_pre_sensitivity,60,0.33808127736348487,1.8140307050350177,0.1570927907695107,0.9911045433402327,0.25754854001435346,-0.7335560033258792,-0.07959491358824075,-0.00010783425270491365,0.012484052823661315,1.2664954585284411,True
V,C2_immediate_pre,immediate_pre_sensitivity,61,0.2978374398868151,1.7631922851974244,0.14450904626067038,0.9964956236702646,0.3041315277380792,-0.6923640959321853,-0.047070590570489554,-0.012583744508840311,0.0325243230177512,1.2664954585284411,True
V,C2_immediate_pre,immediate_pre_sensitivity,62,0.21504981346841262,1.683835581744556,0.11325054898549777,0.9992771530890658,0.35804587630915036,-0.6412312767799155,-0.006697118397378335,-0.0312584972751726,0.04037347217311122,1.2664954585284411,True
V,C2_immediate_pre,immediate_pre_sensitivity,63,0.12928372688346845,1.6136550873056013,0.07417571163771448,0.9992889292943606,0.3902701530129735,-0.6090187762813871,0.018737240866694017,-0.03907483734778329,0.02543435926407235,1.2664954585284411,True
V,C2_immediate_pre,immediate_pre_sensitivity,64,0.04889103454260103,1.555434348982204,0.030474512866700592,0.9992612497884292,0.4012728325058738,-0.5979884172825554,0.027446596217757087,-0.04370119877101389,0.00870935535106307,1.2664954585284411,True
V,C2_immediate_pre,immediate_pre_sensitivity,65,0.06209276433928961,1.5349468190675253,0.03887991567925507,0.9998980326709447,0.3730654386236534,-0.6268325940472913,0.004671799379361478,0.008405402812554478,-0.02277479683839561,1.2664954585284411,True
V,C2_immediate_pre,immediate_pre_sensitivity,66,0.1228989501638084,1.5195525539809334,0.07482653207943842,0.9999262634135114,0.3628729718078037,-0.6370532916057077,-0.0033982631617959468,0.035946616400183345,-0.008070062541157424,1.2664954585284411,True
