mode,source_object,source_package_type,source_col,target_object,target_col,is_self_target,n_years,pearson_r,spearman_r,permutation_p
local_background_removed,P,main_cluster_source,P_M_source_strength,M_minus_Je,M_minus_Je_strength,False,45,0.7778171460410872,0.7284584980237153,0.009900990099009901
local_background_removed,P,main_cluster_source,P_M_source_strength,M_minus_Jw,M_minus_Jw_strength,False,45,0.8062980305478823,0.7706192358366271,0.009900990099009901
local_background_removed,V,main_cluster_source,V_M_source_strength,P,P_P45_strength,False,45,0.6849947418895639,0.5845849802371541,0.009900990099009901
local_background_removed,V,main_cluster_source,V_M_source_strength,V,V_V45_strength,True,45,1.0,0.9999999999999999,0.009900990099009901
local_background_removed,V,main_cluster_source,V_M_source_strength,Je,Je_Je46_strength,False,45,0.34195079378483223,0.2553359683794466,0.0594059405940594
local_background_removed,V,main_cluster_source,V_M_source_strength,Jw,Jw_Jw41_strength,False,45,-0.10640453096892356,-0.1171277997364954,0.6237623762376238
local_background_removed,V,main_cluster_source,V_M_source_strength,M,M_combined_strength,False,45,0.7735485323421564,0.7101449275362318,0.009900990099009901
local_background_removed,V,main_cluster_source,V_M_source_strength,joint_proxy,joint45_strength_proxy,False,45,0.7735485323421564,0.7101449275362318,0.009900990099009901
local_background_removed,V,main_cluster_source,V_M_source_strength,M_minus_P,M_minus_P_strength,False,45,0.6401933330929966,0.5971014492753622,0.009900990099009901
local_background_removed,V,main_cluster_source,V_M_source_strength,M_minus_V,M_minus_V_strength,False,45,0.5049804952062366,0.4463768115942029,0.009900990099009901
local_background_removed,V,main_cluster_source,V_M_source_strength,M_minus_Je,M_minus_Je_strength,False,45,0.8063377181030874,0.764558629776021,0.009900990099009901
local_background_removed,V,main_cluster_source,V_M_source_strength,M_minus_Jw,M_minus_Jw_strength,False,45,0.8684251851106769,0.8133069828722003,0.009900990099009901
local_background_removed,Je,main_cluster_source,Je_M_source_strength,P,P_P45_strength,False,45,0.19694307090406257,0.23017127799736492,0.22772277227722773
local_background_removed,Je,main_cluster_source,Je_M_source_strength,V,V_V45_strength,False,45,0.3419507937848321,0.2553359683794466,0.019801980198019802
local_background_removed,Je,main_cluster_source,Je_M_source_strength,Je,Je_Je46_strength,True,45,0.9999999999999999,0.9999999999999999,0.009900990099009901
local_background_removed,Je,main_cluster_source,Je_M_source_strength,Jw,Jw_Jw41_strength,False,45,0.12682273252998688,0.20079051383399207,0.40594059405940597
local_background_removed,Je,main_cluster_source,Je_M_source_strength,M,M_combined_strength,False,45,0.6709112827685957,0.6861660079051384,0.009900990099009901
local_background_removed,Je,main_cluster_source,Je_M_source_strength,joint_proxy,joint45_strength_proxy,False,45,0.6709112827685957,0.6861660079051384,0.009900990099009901
