day,detector_score,score_valid,object
123,0.802899018518926,True,Je
124,0.7352800161203428,True,Je
125,1.0386617718686848,True,Je
126,1.6470039373908483,True,Je
127,2.558955589928118,True,Je
128,3.8510624919159175,True,Je
129,5.4262419075344805,True,Je
130,7.169800288198494,True,Je
131,8.974037721894558,True,Je
132,10.590987890412219,True,Je
133,11.870410231608481,True,Je
134,12.976642677800852,True,Je
135,13.841185358144521,True,Je
136,14.318820217804232,True,Je
137,14.240249383136952,True,Je
138,13.750776375835876,True,Je
139,13.232198830990125,True,Je
140,,False,Je
141,,False,Je
142,,False,Je
143,,False,Je
144,,False,Je
145,,False,Je
146,,False,Je
147,,False,Je
148,,False,Je
149,,False,Je
88,,False,Jw
89,,False,Jw
90,,False,Jw
91,,False,Jw
92,,False,Jw
93,,False,Jw
94,,False,Jw
95,,False,Jw
96,,False,Jw
97,,False,Jw
98,16.291766664249817,True,Jw
99,18.927794741614395,True,Jw
100,21.302514341065404,True,Jw
101,23.157290434282555,True,Jw
102,24.345248599960204,True,Jw
103,24.911597581426918,True,Jw
104,25.06998583750547,True,Jw
105,24.970813645892488,True,Jw
106,24.791482501662728,True,Jw
107,24.717924468339127,True,Jw
108,24.63696658932396,True,Jw
109,24.177378157853518,True,Jw
110,23.169081002425564,True,Jw
111,21.627147807683592,True,Jw
112,19.549915189674103,True,Jw
113,16.974676152538258,True,Jw
114,14.111621373811143,True,Jw
115,11.225043992467075,True,Jw
116,8.434314439627272,True,Jw
117,5.948034365374281,True,Jw
118,4.004679185263858,True,Jw
119,2.7205455202745465,True,Jw
120,2.1439715806905593,True,Jw
121,2.397203370365875,True,Jw
122,3.599617656844903,True,Jw
123,5.67557313388403,True,Jw
124,8.387013933312813,True,Jw
125,11.433817336810872,True,Jw
126,14.523707083738184,True,Jw
127,17.390305430396086,True,Jw
128,19.792465354859125,True,Jw
129,21.380172099834784,True,Jw
130,21.9408475625849,True,Jw
131,21.47710969290609,True,Jw
132,20.301949065145898,True,Jw
133,18.72500026854774,True,Jw
134,17.020522882260472,True,Jw
135,15.420223374474315,True,Jw
136,13.900717968339862,True,Jw
137,12.45161098074556,True,Jw
138,11.104984619657227,True,Jw
139,9.990737642106847,True,Jw
140,,False,Jw
141,,False,Jw
142,,False,Jw
143,,False,Jw
144,,False,Jw
145,,False,Jw
